,TransactionID,CustomerID,ProductID,Date,Quantity,Discount,Total_Amount,Category,Price,Name,Region,Signup_Date
0,10001,CUST-064,PROD-009 ,2023-01-01 00:00:00,8,0.1,,,,Customer_64,West,2021-03-21
1,10001,CUST-064,PROD-009 ,2023-01-01 00:00:00,8,0.1,,,,Customer_64,West,2021-03-21
2,10002,CUST-097,PROD-004,2023-01-01 01:00:00,2,0.05,647.12,Office,340.59,Customer_97,East,2021-11-07
3,10003,CUST-049,PROD-017,2023-01-01 02:00:00,1,0.2,195.27,Furniture,244.09,Customer_49,West,2020-12-06
4,10004,CUST-022,PROD-001,2023-01-01 03:00:00,6,0.2,729.65,Clothing,152.01,Customer_22,East,2020-05-31
5,10005,CUST-071,PROD-005,Invalid_Date,4,0.0,1129.92,Electronics,282.48,Customer_71,midwest,2021-05-09
6,10006,CUST-099,PROD-012,2023-01-01 05:00:00,9,0.1,524.64,Furniture,64.77,Customer_99,North,2021-11-21
7,10007,CUST-004,PROD-006,2023-01-01 06:00:00,8,0.2,2699.52,Electronics,421.8,Customer_4,Midwest,2020-01-26
8,10008,CUST-076,PROD-016,2023-01-01 07:00:00,3,0.1,Check_Receipt,Electronics,50.92,Customer_76,East,2021-06-13
9,10009,CUST-087,PROD-002,2023-01-01 08:00:00,1,0.1,445.06,Office,494.51,Customer_87,South,2021-08-29
10,10010,CUST-039,PROD-020,2023-01-01 09:00:00,7,0.0,413.49,Electronics,59.07,Customer_39,North,2020-09-27
11,10011,CUST-057,PROD-007,2023-01-01 10:00:00,9,0.05,$2607.49,Clothing,304.97,Customer_57,East,2021-01-31
12,10012,CUST-002,PROD-019,2023-01-01 11:00:00,9,0.05,601.66,Clothing,70.37,Customer_2,South,2020-01-12
13,10013,CUST-041,PROD-017,2023-01-01 12:00:00,5,0.0,1220.45,Furniture,244.09,Customer_41,West,2020-10-11
14,10014,CUST-043,PROD-001,2023-01-01 13:00:00,1,0.1,136.81,Clothing,152.01,Customer_43,West,2020-10-25
15,10015,CUST-091,PROD-014,2023-01-01 14:00:00,8,0.05,$2283.19,Electronics,300.42,Customer_91,South,2021-09-26
16,10016,CUST-096,PROD-001,2023-01-01 15:00:00,8,0.1,$1094.47,Clothing,152.01,Customer_96,South,2021-10-31
17,10017,CUST-046,PROD-015,2023-01-01 16:00:00,1,0.1,97.39,Office,108.21,Customer_46,West,2020-11-15
18,10018,CUST-053,PROD-020,2023-01-01 17:00:00,4,0.2,Check_Receipt,Electronics,59.07,Customer_53,North,2021-01-03
19,10019,CUST-009,PROD-008,2023-01-01 18:00:00,5,0.05,1654.04,Office,348.22,Customer_9,north,2020-03-01
20,10020,CUST-087,PROD-002,2023-01-01 19:00:00,1,0.05,469.78,Office,494.51,Customer_87,South,2021-08-29
21,10021,CUST-042,PROD-008,2023-01-01 20:00:00,3,0.0,$1044.66,Office,348.22,Customer_42,East,2020-10-18
22,10022,CUST-051,PROD-012,2023-01-01 21:00:00,5,0.05,$307.66,Furniture,64.77,Customer_51,South,2020-12-20
23,10023,CUST-030,PROD-003,2023-01-01 22:00:00,4,0.05,1828.6 EUR,Electronics,481.21,Customer_30,North,2020-07-26
24,10024,CUST-065,PROD-018 ,2023-01-01 23:00:00,9,0.2,,,,Customer_65,South,2021-03-28
25,10025,CUST-014,PROD-020,2023-01-02 00:00:00,5,0.05,280.58,Electronics,59.07,Customer_14,midwest,2020-04-05
26,10026,CUST-030,PROD-008,2023-01-02 01:00:00,7,0.0,2437.54,Office,348.22,Customer_30,North,2020-07-26
27,10027,CUST-094,PROD-005,2023-01-02 02:00:00,5,0.1,1271.16,Electronics,282.48,Customer_94,east,2021-10-17
28,10028,CUST-004,PROD-014,2023-01-02 03:00:00,1,0.0,300.42,Electronics,300.42,Customer_4,Midwest,2020-01-26
29,10029,CUST-061,PROD-014,2023-01-02 04:00:00,-6,0.05,-1712.39,Electronics,300.42,Customer_61,south,2021-02-28
30,10030,CUST-096,PROD-012,2023-01-02 05:00:00,5,0.2,259.08,Furniture,64.77,Customer_96,South,2021-10-31
31,10031,CUST-070,PROD-014,2023-01-02 06:00:00,5,0.05,1427.0,Electronics,300.42,Customer_70,east,2021-05-02
32,10032,CUST-056,PROD-008 ,2023-01-02 07:00:00,5,0.1,,,,Customer_56,East,2021-01-24
33,10033,CUST-092,PROD-002,2023-01-02 08:00:00,3,0.1,1335.18,Office,494.51,Customer_92,Midwest,2021-10-03
34,10034,CUST-069,PROD-002,2023-01-02 09:00:00,8,0.2,3164.86,Office,494.51,Customer_69,Midwest,2021-04-25
35,10035,CUST-038,PROD-016,2023-01-02 10:00:00,8,0.1,366.62 EUR,Electronics,50.92,Customer_38,Midwest,2020-09-20
36,10036,CUST-073,PROD-002,2023-01-02 11:00:00,7,0.2,2769.26,Office,494.51,Customer_73,West,2021-05-23
37,10036,CUST-073,PROD-002,2023-01-02 11:00:00,7,0.2,2769.26,Office,494.51,Customer_73,West,2021-05-23
38,10037,CUST-061,PROD-006,2023-01-02 12:00:00,9,0.1,3416.58,Electronics,421.8,Customer_61,south,2021-02-28
39,10038,CUST-027,PROD-005,2023-01-02 13:00:00,1,0.1,254.23,Electronics,282.48,Customer_27,Midwest,2020-07-05
40,10039,CUST-011,PROD-014,2023-01-02 14:00:00,8,0.0,2403.36,Electronics,300.42,Customer_11,South,2020-03-15
